term,language,sightings,offensiveness,source,label,source_url,filter_group,filter_name,target_category,showing_range,coverage_note,text
6 gorillion,English,1 sighting,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] 6 gorillion: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: 1 sighting.
abbo (variant of abo),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] abbo (variant of abo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: -.
abbos (plural of abbo),English,109 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] abbos (plural of abbo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 109 sightings.
ABC,English,1 sighting,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] ABC: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 1 sighting.
ABCD,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] ABCD: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
ABCDs (plural of ABCD),English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] ABCDs (plural of ABCD): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
ABCs (plural of ABC),English,2 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] ABCs (plural of ABC): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 2 sightings.
abo,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] abo: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
abos (plural of abo),English,82 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] abos (plural of abo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: 82 sightings.
af,English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] af: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: -.
African catfish,English,72 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] African catfish: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 72 sightings.
African catfishes (plural of African catfish),English,16 sightings,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] African catfishes (plural of African catfish): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: 16 sightings.
african't,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] african't: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
african'ts (plural of african't),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] african'ts (plural of african't): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
Africoon,English,194 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Africoon: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 194 sightings.
Africoons (plural of Africoon),English,792 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Africoons (plural of Africoon): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 792 sightings.
Afro-Saxon,English,110 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Afro-Saxon: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 110 sightings.
Afro-Saxons (plural of Afro-Saxon),English,276 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Afro-Saxons (plural of Afro-Saxon): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 276 sightings.
afs (plural of af),English,-,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] afs (plural of af): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: -.
Ahab,English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Ahab: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
Ahabs (plural of Ahab),English,-,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Ahabs (plural of Ahab): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: -.
albino,English,1 sighting,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] albino: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 1 sighting.
albinos (plural of albino),English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] albinos (plural of albino): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
albo,English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] albo: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
alboes (variant of albos) (plural of albo),English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] alboes (variant of albos) (plural of albo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
albos (plural of albo),English,-,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] albos (plural of albo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: -.
alligator bait,English,751 sightings,Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] alligator bait: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: 751 sightings.
Americoon,English,54 sightings,Extremely offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Americoon: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Extremely offensive. Sightings: 54 sightings.
Americoons (plural of Americoon),English,242 sightings,-,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Americoons (plural of Americoon): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: -. Sightings: 242 sightings.
AmeriKKKan,English,312 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] AmeriKKKan: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 312 sightings.
Amo,English,15 sightings,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Amo: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: 15 sightings.
Amos (plural of Amo),English,-,Moderately offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Amos (plural of Amo): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Moderately offensive. Sightings: -.
anchor babies (plural of anchor baby),English,"2,726 sightings",Moderately offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,"[hate] anchor babies (plural of anchor baby): Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Moderately offensive. Sightings: 2,726 sightings."
anchor baby,English,"1,586 sightings",Highly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,"[hate] anchor baby: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Highly offensive. Sightings: 1,586 sightings."
Angie,English,-,Mildly offensive,hatebase,hate,https://hatebase.org/search_results/language_id%3Deng,language,english_all,english,"Showing 1 - 50 of 1,565 results",selected_english_filters,[hate] Angie: Hatebase entry. Target category: english. Filter group: language. Language: English. Offensiveness: Mildly offensive. Sightings: -.
