# SPLC Extremist Files
# Format: website,slug
# Generated from https://www.splcenter.org/resources/extremist-files

https://www.splcenter.org/resources/extremist-files,act-america
https://www.splcenter.org/resources/extremist-files,active-clubs
https://www.splcenter.org/resources/extremist-files,alex-jones
https://www.splcenter.org/resources/extremist-files,alex-linder
https://www.splcenter.org/resources/extremist-files,alliance-defending-freedom
https://www.splcenter.org/resources/extremist-files,alt-right
https://www.splcenter.org/resources/extremist-files,american-border-patrolamerican-patrol
https://www.splcenter.org/resources/extremist-files,american-college-pediatricians
https://www.splcenter.org/resources/extremist-files,american-family-association
https://www.splcenter.org/resources/extremist-files,american-freedom-party
https://www.splcenter.org/resources/extremist-files,american-renaissance
https://www.splcenter.org/resources/extremist-files,americas-promise-ministries
https://www.splcenter.org/resources/extremist-files,andrew-anglin
https://www.splcenter.org/resources/extremist-files,andrew-tate
https://www.splcenter.org/resources/extremist-files,andrew-weev-auernheimer
https://www.splcenter.org/resources/extremist-files,anti-immigrant
https://www.splcenter.org/resources/extremist-files,anti-lgbtq
https://www.splcenter.org/resources/extremist-files,anti-muslim
https://www.splcenter.org/resources/extremist-files,antigovernment-general
https://www.splcenter.org/resources/extremist-files,antisemitism
https://www.splcenter.org/resources/extremist-files,april-gaede
https://www.splcenter.org/resources/extremist-files,arthur-jensen
https://www.splcenter.org/resources/extremist-files,aryan-brotherhood
https://www.splcenter.org/resources/extremist-files,aryan-brotherhood-texas
https://www.splcenter.org/resources/extremist-files,aryan-freedom-network
https://www.splcenter.org/resources/extremist-files,aryan-nations
https://www.splcenter.org/resources/extremist-files,asatru-folk-assembly
https://www.splcenter.org/resources/extremist-files,atomwaffen-division
https://www.splcenter.org/resources/extremist-files,august-kreis
https://www.splcenter.org/resources/extremist-files,augustus-sol-invictus
https://www.splcenter.org/resources/extremist-files,barbara-coe
https://www.splcenter.org/resources/extremist-files,barnes-reviewfoundation-economic-liberty-inc
https://www.splcenter.org/resources/extremist-files,barry-black
https://www.splcenter.org/resources/extremist-files,base
https://www.splcenter.org/resources/extremist-files,bill-white
https://www.splcenter.org/resources/extremist-files,billy-roper
https://www.splcenter.org/resources/extremist-files,blood-honour
https://www.splcenter.org/resources/extremist-files,blood-tribe
https://www.splcenter.org/resources/extremist-files,bo-gritz
https://www.splcenter.org/resources/extremist-files,boyd-cathey
https://www.splcenter.org/resources/extremist-files,bradley-dean-griffin
https://www.splcenter.org/resources/extremist-files,brien-james
https://www.splcenter.org/resources/extremist-files,brotherhood-klans
https://www.splcenter.org/resources/extremist-files,bryan-fischer
https://www.splcenter.org/resources/extremist-files,center-immigration-studies
https://www.splcenter.org/resources/extremist-files,center-security-policy
