source,page_num,page_url,markdown_length,links_found,status
splc,1,https://www.splcenter.org/resources/extremist-files/,8387,10,ok
splc,2,https://www.splcenter.org/resources/extremist-files/page/2/,7052,10,ok
splc,3,https://www.splcenter.org/resources/extremist-files/page/3/,5697,10,ok
splc,4,https://www.splcenter.org/resources/extremist-files/page/4/,6010,10,ok
splc,5,https://www.splcenter.org/resources/extremist-files/page/5/,7212,10,ok
splc,6,https://www.splcenter.org/resources/extremist-files/page/6/,7431,10,ok
splc,7,https://www.splcenter.org/resources/extremist-files/page/7/,8053,10,ok
splc,8,https://www.splcenter.org/resources/extremist-files/page/8/,6992,10,ok
splc,9,https://www.splcenter.org/resources/extremist-files/page/9/,8019,10,ok
splc,10,https://www.splcenter.org/resources/extremist-files/page/10/,8021,10,ok
splc,11,https://www.splcenter.org/resources/extremist-files/page/11/,7341,10,ok
splc,12,https://www.splcenter.org/resources/extremist-files/page/12/,7103,10,ok
splc,13,https://www.splcenter.org/resources/extremist-files/page/13/,7833,10,ok
splc,14,https://www.splcenter.org/resources/extremist-files/page/14/,7642,10,ok
splc,15,https://www.splcenter.org/resources/extremist-files/page/15/,6537,10,ok
splc,16,https://www.splcenter.org/resources/extremist-files/page/16/,7393,10,ok
splc,17,https://www.splcenter.org/resources/extremist-files/page/17/,7305,10,ok
splc,18,https://www.splcenter.org/resources/extremist-files/page/18/,7050,10,ok
splc,19,https://www.splcenter.org/resources/extremist-files/page/19/,6755,10,ok
splc,20,https://www.splcenter.org/resources/extremist-files/page/20/,7201,10,ok
splc,21,https://www.splcenter.org/resources/extremist-files/page/21/,7430,10,ok
splc,22,https://www.splcenter.org/resources/extremist-files/page/22/,7445,10,ok
splc,23,https://www.splcenter.org/resources/extremist-files/page/23/,7322,10,ok
splc,24,https://www.splcenter.org/resources/extremist-files/page/24/,8147,10,ok
splc,25,https://www.splcenter.org/resources/extremist-files/page/25/,6889,10,ok
splc,26,https://www.splcenter.org/resources/extremist-files/page/26/,7017,10,ok
splc,27,https://www.splcenter.org/resources/extremist-files/page/27/,3540,3,ok
