# Combined symbol source file
# Format: website,slug OR full_url
# Generated from documents/sources/*.txt

https://www.adl.org/resources/hate-symbol,1-11
https://www.adl.org/resources/hate-symbol,100
https://www.adl.org/resources/hate-symbol,109110
https://www.adl.org/resources/hate-symbol,12
https://www.adl.org/resources/hate-symbol,13
https://www.adl.org/resources/hate-symbol,1352-1390
https://www.adl.org/resources/hate-symbol,14
https://www.adl.org/resources/hate-symbol,14-words
https://www.adl.org/resources/hate-symbol,1423
https://www.adl.org/resources/hate-symbol,1488
https://www.adl.org/resources/hate-symbol,18
https://www.adl.org/resources/hate-symbol,21-2-12
https://www.adl.org/resources/hate-symbol,211-crew
https://www.adl.org/resources/hate-symbol,23-hand-sign
https://www.adl.org/resources/hate-symbol,2316
https://www.adl.org/resources/hate-symbol,271k
https://www.adl.org/resources/hate-symbol,28
https://www.adl.org/resources/hate-symbol,311
https://www.adl.org/resources/hate-symbol,318
https://www.adl.org/resources/hate-symbol,336
https://www.adl.org/resources/hate-symbol,38
https://www.adl.org/resources/hate-symbol,43
https://www.adl.org/resources/hate-symbol,5-words
https://www.adl.org/resources/hate-symbol,511
https://www.adl.org/resources/hate-symbol,737
https://www.adl.org/resources/hate-symbol,83
https://www.adl.org/resources/hate-symbol,88
https://www.adl.org/resources/hate-symbol,88-hand-sign
https://www.adl.org/resources/hate-symbol,9
https://www.adl.org/resources/hate-symbol,acab
https://www.adl.org/resources/hate-symbol,active-clubs
https://www.adl.org/resources/hate-symbol,advanced-white-society
https://www.adl.org/resources/hate-symbol,akia
https://www.adl.org/resources/hate-symbol,alabama-aryan-brotherhood
https://www.adl.org/resources/hate-symbol,american-front
https://www.adl.org/resources/hate-symbol,american-identity-movement-aim
https://www.adl.org/resources/hate-symbol,anti-racist-code-anti-white
https://www.adl.org/resources/hate-symbol,anti-sharp-imagery
https://www.adl.org/resources/hate-symbol,anudda-shoah
https://www.adl.org/resources/hate-symbol,arrow-cross
